code,character,translation,issue_type,char_name,trans_name
U+003000,　, ,different,IDEOGRAPHIC SPACE,SPACE
U+003001,、,",",different,IDEOGRAPHIC COMMA,COMMA
U+003002,。,.,different,IDEOGRAPHIC FULL STOP,FULL STOP
U+003007,〇,0,different,IDEOGRAPHIC NUMBER ZERO,DIGIT ZERO
U+00301C,〜,~,different,WAVE DASH,TILDE
U+0030FC,ー,-,different,KATAKANA-HIRAGANA PROLONGED SOUND MARK,HYPHEN-MINUS
U+00FF01,！,!,different,FULLWIDTH EXCLAMATION MARK,EXCLAMATION MARK
U+00FF05,％,%,different,FULLWIDTH PERCENT SIGN,PERCENT SIGN
U+00FF08,（,(,different,FULLWIDTH LEFT PARENTHESIS,LEFT PARENTHESIS
U+00FF09,）,),different,FULLWIDTH RIGHT PARENTHESIS,RIGHT PARENTHESIS
U+00FF0A,＊,*,different,FULLWIDTH ASTERISK,ASTERISK
U+00FF0C,，,",",different,FULLWIDTH COMMA,COMMA
U+00FF0E,．,.,different,FULLWIDTH FULL STOP,FULL STOP
U+00FF0F,／,/,different,FULLWIDTH SOLIDUS,SOLIDUS
U+00FF10,0,0,different,FULLWIDTH DIGIT ZERO,DIGIT ZERO
U+00FF11,1,1,different,FULLWIDTH DIGIT ONE,DIGIT ONE
U+00FF12,2,2,different,FULLWIDTH DIGIT TWO,DIGIT TWO
U+00FF13,3,3,different,FULLWIDTH DIGIT THREE,DIGIT THREE
U+00FF14,4,4,different,FULLWIDTH DIGIT FOUR,DIGIT FOUR
U+00FF15,5,5,different,FULLWIDTH DIGIT FIVE,DIGIT FIVE
U+00FF16,6,6,different,FULLWIDTH DIGIT SIX,DIGIT SIX
U+00FF17,7,7,different,FULLWIDTH DIGIT SEVEN,DIGIT SEVEN
U+00FF18,8,8,different,FULLWIDTH DIGIT EIGHT,DIGIT EIGHT
U+00FF19,9,9,different,FULLWIDTH DIGIT NINE,DIGIT NINE
U+00FF1A,：,:,different,FULLWIDTH COLON,COLON
U+00FF1D,＝,=,different,FULLWIDTH EQUALS SIGN,EQUALS SIGN
U+00FF21,Ａ,A,different,FULLWIDTH LATIN CAPITAL LETTER A,LATIN CAPITAL LETTER A
U+00FF22,Ｂ,B,different,FULLWIDTH LATIN CAPITAL LETTER B,LATIN CAPITAL LETTER B
U+00FF23,Ｃ,C,different,FULLWIDTH LATIN CAPITAL LETTER C,LATIN CAPITAL LETTER C
U+00FF24,Ｄ,D,different,FULLWIDTH LATIN CAPITAL LETTER D,LATIN CAPITAL LETTER D
U+00FF25,Ｅ,E,different,FULLWIDTH LATIN CAPITAL LETTER E,LATIN CAPITAL LETTER E
U+00FF26,Ｆ,F,different,FULLWIDTH LATIN CAPITAL LETTER F,LATIN CAPITAL LETTER F
U+00FF27,Ｇ,G,different,FULLWIDTH LATIN CAPITAL LETTER G,LATIN CAPITAL LETTER G
U+00FF28,Ｈ,H,different,FULLWIDTH LATIN CAPITAL LETTER H,LATIN CAPITAL LETTER H
U+00FF29,Ｉ,I,different,FULLWIDTH LATIN CAPITAL LETTER I,LATIN CAPITAL LETTER I
U+00FF2A,Ｊ,J,different,FULLWIDTH LATIN CAPITAL LETTER J,LATIN CAPITAL LETTER J
U+00FF2B,Ｋ,K,different,FULLWIDTH LATIN CAPITAL LETTER K,LATIN CAPITAL LETTER K
U+00FF2C,Ｌ,L,different,FULLWIDTH LATIN CAPITAL LETTER L,LATIN CAPITAL LETTER L
U+00FF2D,Ｍ,M,different,FULLWIDTH LATIN CAPITAL LETTER M,LATIN CAPITAL LETTER M
U+00FF2E,Ｎ,N,different,FULLWIDTH LATIN CAPITAL LETTER N,LATIN CAPITAL LETTER N
U+00FF2F,Ｏ,O,different,FULLWIDTH LATIN CAPITAL LETTER O,LATIN CAPITAL LETTER O
U+00FF30,Ｐ,P,different,FULLWIDTH LATIN CAPITAL LETTER P,LATIN CAPITAL LETTER P
U+00FF31,Ｑ,Q,different,FULLWIDTH LATIN CAPITAL LETTER Q,LATIN CAPITAL LETTER Q
U+00FF32,Ｒ,R,different,FULLWIDTH LATIN CAPITAL LETTER R,LATIN CAPITAL LETTER R
U+00FF33,Ｓ,S,different,FULLWIDTH LATIN CAPITAL LETTER S,LATIN CAPITAL LETTER S
U+00FF34,Ｔ,T,different,FULLWIDTH LATIN CAPITAL LETTER T,LATIN CAPITAL LETTER T
U+00FF35,Ｕ,U,different,FULLWIDTH LATIN CAPITAL LETTER U,LATIN CAPITAL LETTER U
U+00FF36,Ｖ,V,different,FULLWIDTH LATIN CAPITAL LETTER V,LATIN CAPITAL LETTER V
U+00FF37,Ｗ,W,different,FULLWIDTH LATIN CAPITAL LETTER W,LATIN CAPITAL LETTER W
U+00FF38,Ｘ,X,different,FULLWIDTH LATIN CAPITAL LETTER X,LATIN CAPITAL LETTER X
U+00FF39,Ｙ,Y,different,FULLWIDTH LATIN CAPITAL LETTER Y,LATIN CAPITAL LETTER Y
U+00FF3A,Ｚ,Z,different,FULLWIDTH LATIN CAPITAL LETTER Z,LATIN CAPITAL LETTER Z
U+00FF41,ａ,a,different,FULLWIDTH LATIN SMALL LETTER A,LATIN SMALL LETTER A
U+00FF42,ｂ,b,different,FULLWIDTH LATIN SMALL LETTER B,LATIN SMALL LETTER B
U+00FF43,ｃ,c,different,FULLWIDTH LATIN SMALL LETTER C,LATIN SMALL LETTER C
U+00FF44,ｄ,d,different,FULLWIDTH LATIN SMALL LETTER D,LATIN SMALL LETTER D
U+00FF45,ｅ,e,different,FULLWIDTH LATIN SMALL LETTER E,LATIN SMALL LETTER E
U+00FF46,ｆ,f,different,FULLWIDTH LATIN SMALL LETTER F,LATIN SMALL LETTER F
U+00FF47,ｇ,g,different,FULLWIDTH LATIN SMALL LETTER G,LATIN SMALL LETTER G
U+00FF48,ｈ,h,different,FULLWIDTH LATIN SMALL LETTER H,LATIN SMALL LETTER H
U+00FF49,ｉ,i,different,FULLWIDTH LATIN SMALL LETTER I,LATIN SMALL LETTER I
U+00FF4A,ｊ,j,different,FULLWIDTH LATIN SMALL LETTER J,LATIN SMALL LETTER J
U+00FF4B,ｋ,k,different,FULLWIDTH LATIN SMALL LETTER K,LATIN SMALL LETTER K
U+00FF4C,ｌ,l,different,FULLWIDTH LATIN SMALL LETTER L,LATIN SMALL LETTER L
U+00FF4D,ｍ,m,different,FULLWIDTH LATIN SMALL LETTER M,LATIN SMALL LETTER M
U+00FF4E,ｎ,n,different,FULLWIDTH LATIN SMALL LETTER N,LATIN SMALL LETTER N
U+00FF4F,ｏ,o,different,FULLWIDTH LATIN SMALL LETTER O,LATIN SMALL LETTER O
U+00FF50,ｐ,p,different,FULLWIDTH LATIN SMALL LETTER P,LATIN SMALL LETTER P
U+00FF51,ｑ,q,different,FULLWIDTH LATIN SMALL LETTER Q,LATIN SMALL LETTER Q
U+00FF52,ｒ,r,different,FULLWIDTH LATIN SMALL LETTER R,LATIN SMALL LETTER R
U+00FF53,ｓ,s,different,FULLWIDTH LATIN SMALL LETTER S,LATIN SMALL LETTER S
U+00FF54,ｔ,t,different,FULLWIDTH LATIN SMALL LETTER T,LATIN SMALL LETTER T
U+00FF55,ｕ,u,different,FULLWIDTH LATIN SMALL LETTER U,LATIN SMALL LETTER U
U+00FF56,ｖ,v,different,FULLWIDTH LATIN SMALL LETTER V,LATIN SMALL LETTER V
U+00FF57,ｗ,w,different,FULLWIDTH LATIN SMALL LETTER W,LATIN SMALL LETTER W
U+00FF58,ｘ,x,different,FULLWIDTH LATIN SMALL LETTER X,LATIN SMALL LETTER X
U+00FF59,ｙ,y,different,FULLWIDTH LATIN SMALL LETTER Y,LATIN SMALL LETTER Y
U+00FF5A,ｚ,z,different,FULLWIDTH LATIN SMALL LETTER Z,LATIN SMALL LETTER Z
U+00FF5E,～,~,different,FULLWIDTH TILDE,TILDE
U+00FF61,｡,.,different,HALFWIDTH IDEOGRAPHIC FULL STOP,FULL STOP
U+00FF64,､,",",different,HALFWIDTH IDEOGRAPHIC COMMA,COMMA
U+00FF70,ｰ,-,different,HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK,HYPHEN-MINUS
